"","date","unique_users","tweet_count","freq","freq_hate","freq_upd","freq_upd_hate","freq_rt","freq_rt_hate","norm","norm_hate","norm_upd","norm_upd_hate","norm_rt","norm_rt_hate","election","date_num","slope_change","slope_change2","date_num2"
"179",2015-12-12,555472,3541760,4094,819,3186,705,1496,256,0.00924737983375497,0.00184992771955186,0.0458853011492929,0.0101535270904744,0.00337911095048789,0.000578243585110228,0,179,0,0,32041
"180",2015-12-13,558192,3860992,4571,923,3515,793,1736,261,0.00947114109534545,0.00191246187508288,0.0503769312351306,0.0113652649984235,0.00359700304999337,0.000540793661318128,0,180,0,0,32400
"181",2015-12-14,603696,4156304,5069,1161,3828,930,1896,348,0.00975674541611971,0.00223467773290885,0.0507275184861255,0.0123240836447483,0.0036493961943111,0.000669825883765961,0,181,0,0,32761
"182",2015-12-15,608040,4027896,5396,1055,4013,878,1828,302,0.0107172578437974,0.00209538677264756,0.0527991579501349,0.0115518715873956,0.00363067964018932,0.000599816877099111,0,182,0,0,33124
"183",2015-12-16,616928,4146552,5198,1073,4008,910,1694,264,0.0100285731373922,0.00207015370843052,0.0519736500855853,0.0118004045853001,0.00326825757882694,0.000509338843453549,0,183,0,0,33489
"184",2015-12-17,610776,3936544,5356,1067,4133,870,1706,265,0.0108846744758854,0.00216839948950145,0.0541344126160818,0.0113953396990059,0.00346700049586643,0.000538543453343847,0,184,0,0,33856
"185",2015-12-18,598432,3741440,5477,1063,4180,885,1956,261,0.0117109989736572,0.00227292165583305,0.0558793647398535,0.0118309181327202,0.00418234690386589,0.000558073896681492,0,185,0,0,34225
"186",2015-12-19,544344,3481528,4278,756,3291,654,1473,188,0.00983016652458346,0.00173716827783663,0.0483664741413518,0.00961156915479917,0.0033847207318166,0.000431994227821807,0,186,0,0,34596
"187",2015-12-20,542496,3711624,4425,911,3289,803,1564,269,0.00953760402454559,0.00196356096414939,0.0485017401049962,0.0118415619654338,0.00337103111737611,0.000579800109062772,0,187,0,0,34969
"188",2015-12-21,591824,4116776,5255,1108,3835,930,1909,323,0.0102118745348302,0.00215314119592613,0.0518397361377707,0.0125713049825624,0.00370969904604963,0.00062767563744056,0,188,0,0,35344
"189",2015-12-22,589352,3977656,5272,1137,4043,954,2091,357,0.0106032296407734,0.00228677391911216,0.0548806146411652,0.0129498160691743,0.00420549187762843,0.000718010808375586,0,189,0,0,35721
"190",2015-12-23,587504,4004160,5380,1078,4020,912,2174,285,0.010748821225925,0.00215376008950691,0.0547400528336828,0.0124186388518206,0.00434348277791097,0.000569407815871494,0,190,0,0,36100
"191",2015-12-24,582360,3996136,4918,948,3708,817,1901,305,0.00984551076339744,0.00189783330697454,0.0509375643931589,0.0112232983034549,0.00380567628328966,0.000610589829775563,0,191,0,0,36481
"192",2015-12-25,572744,3757024,4459,776,3406,689,1698,208,0.00949474903540675,0.00165237166438117,0.0475744835388935,0.00962384590672273,0.00361562768829797,0.00044290374509186,0,192,0,0,36864
"193",2015-12-26,519392,3486112,4002,820,3033,703,1407,219,0.00918387016825621,0.0018817525082384,0.0467161604337379,0.0108280450988848,0.00322881192572126,0.000502565608907574,0,193,0,0,37249
"194",2015-12-27,528656,3840152,4952,1040,3443,875,1570,285,0.010316258314775,0.00216658090617246,0.0521019339608365,0.0132411246632971,0.00327070386797189,0.000593726498326108,0,194,0,0,37636
"195",2015-12-28,563216,4107864,5387,1251,3792,981,1919,369,0.0104910970762421,0.00243630266240557,0.0538621061901651,0.0139342632311582,0.0037372220696693,0.000718621648623226,0,195,0,0,38025
"196",2015-12-29,577448,4317080,5603,1239,4189,998,2053,349,0.0103829440269812,0.00229599636791535,0.0580346628614178,0.0138263531954392,0.00380442336023423,0.000646733440195688,0,196,0,0,38416
