day,clinton,trump,random,election,date_num,date_num2,slope_change,slope_change2
2016-04-11,0.02385779729481471,0.02070380429548661,0.028384325201579887,0,300,90000,0,0
2016-04-12,0.02688688476922754,0.020027149888115613,0.028708105695646188,0,301,90601,0,0
2016-04-13,0.03021750312332925,0.021790681029084828,0.028342652016351912,0,302,91204,0,0
2016-04-14,0.02867684444319912,0.02013353772058477,0.02656158910927973,0,303,91809,0,0
2016-04-15,0.03212567747477029,0.02298567608488981,0.02850107715518238,0,304,92416,0,0
2016-04-16,0.02700091099973977,0.02377799112577956,0.027898004480887702,0,305,93025,0,0
2016-04-17,0.02320608557833993,0.021805514318737496,0.028231628627224125,0,306,93636,0,0
2016-04-18,0.02643311060959432,0.02247608520233152,0.028599905022483014,0,307,94249,0,0
2016-04-19,0.022954778941020524,0.02439765276456184,0.028427809216440586,0,308,94864,0,0
2016-04-20,0.025929040782243926,0.0233990283961143,0.02866916539082731,0,309,95481,0,0
2016-04-21,0.02751141266491581,0.023215483909476343,0.027533950893471888,0,310,96100,0,0
2016-04-22,0.028114249425157625,0.022495539943912863,0.02738154804889908,0,311,96721,0,0
2016-04-23,0.024821745038169443,0.02249640122092434,0.028004152209181364,0,312,97344,0,0
2016-04-24,0.025683928279630355,0.022010380652670403,0.027259007812077903,0,313,97969,0,0
2016-04-25,0.02339415105257784,0.01951793345614515,0.027277164547610543,0,314,98596,0,0
2016-04-26,0.02156012832937137,0.021543807667573675,0.02742860300194233,0,315,99225,0,0
2016-04-27,0.024246280310771345,0.02410521115281215,0.02802904788922744,0,316,99856,0,0
2016-04-28,0.028953940322932532,0.02336611967161508,0.02810470809177956,0,317,100489,0,0
2016-04-29,0.02442638525135716,0.02268918792089513,0.027621610162949173,0,318,101124,0,0
2016-04-30,0.023978083509358192,0.023809516828364026,0.02719713902930353,0,319,101761,0,0
2016-05-01,0.025480275455265367,0.021031374588167912,0.02718752465708793,0,320,102400,0,0
2016-05-02,0.02542024961369144,0.02229674788462275,0.027184232014608997,0,321,103041,0,0
2016-05-03,0.023303279126399404,0.022660920826650062,0.027235956355231482,0,322,103684,0,0
2016-05-04,0.02738362879004772,0.025904257867375886,0.0277051247094228,0,323,104329,0,0
2016-05-05,0.026606688150728662,0.029027378186659764,0.028644553370424906,0,324,104976,0,0
2016-05-06,0.027886644144876942,0.02640680428937381,0.02808619841507649,0,325,105625,0,0
2016-05-07,0.025668988509499502,0.02645726727072888,0.027427352194408672,0,326,106276,0,0
2016-05-08,0.02723234853615934,0.0255074397530026,0.02668614748286946,0,327,106929,0,0
2016-05-09,0.028413523021233605,0.026197893196496267,0.027788746371974614,0,328,107584,0,0
2016-05-10,0.02637232602322513,0.026530552124484044,0.027325581642939373,0,329,108241,0,0
2016-05-11,0.027080125670587308,0.02569245669617541,0.02728358459548681,0,330,108900,0,0
2016-05-12,0.02910672249574273,0.02499150092628068,0.02790667652079283,0,331,109561,0,0
2016-05-13,0.029099592011693782,0.024163784307031876,0.02655606055397653,0,332,110224,0,0
2016-05-14,0.023961800167793763,0.025225305639573658,0.027414416973982697,0,333,110889,0,0
2016-05-15,0.023988103199042737,0.024568920047786377,0.026359353781077986,0,334,111556,0,0
2016-05-16,0.02709089960165131,0.027103063118067962,0.02740195131720688,0,335,112225,0,0
2016-05-17,0.026696309989829897,0.02693073270327596,0.02703177793137277,0,336,112896,0,0
2016-05-18,0.02118727915103698,0.02618733373860981,0.026760107613844272,0,337,113569,0,0
2016-05-19,0.024002054161474908,0.02559438527700003,0.02786989543240509,0,338,114244,0,0
2016-05-20,0.024262097970461825,0.027390386087090688,0.02751004525614575,0,339,114921,0,0
2016-05-21,0.02671887233832293,0.03103400352865323,0.027905440459644274,0,340,115600,0,0
2016-05-22,0.027551218682289758,0.027636142308775497,0.02771751883590393,0,341,116281,0,0
2016-05-23,0.025964906569068226,0.02792832037087685,0.026885218279483918,0,342,116964,0,0
2016-05-24,0.027931844113842984,0.02738602099559117,0.027362642449734784,0,343,117649,0,0
2016-05-25,0.021320918255687518,0.023589296948985983,0.02673272700960125,0,344,118336,0,0
2016-05-26,0.021654452621423195,0.0235385110938124,0.027150523415086444,0,345,119025,0,0
2016-05-27,0.02361341051807421,0.026319050522184532,0.0269168873493609,0,346,119716,0,0
2016-05-28,0.022408650864839955,0.02816228016657547,0.026353482380706058,0,347,120409,0,0
2016-05-29,0.024389876036127103,0.02955420121543895,0.02654927193682247,0,348,121104,0,0
2016-05-30,0.02395909220463582,0.02753666594719159,0.028486659773579937,0,349,121801,0,0
2016-05-31,0.0249829333372456,0.026030371124149847,0.02646157590485369,0,350,122500,0,0
2016-06-01,0.024053580122261758,0.025553664229899336,0.028339562988426138,0,351,123201,0,0
2016-06-02,0.025495208238498948,0.02527368013720381,0.027345005452085812,0,352,123904,0,0
2016-06-03,0.02503310676528538,0.026987102932052642,0.026816997237502048,0,353,124609,0,0
2016-06-04,0.031557699861802735,0.031165629493967086,0.02680746228048347,0,354,125316,0,0
2016-06-05,0.023605800448767127,0.030671177575513187,0.0273719813531054,0,355,126025,0,0
2016-06-06,0.02110070059627581,0.0280860834420508,0.026930995760635276,0,356,126736,0,0
2016-06-07,0.021151215961223425,0.028955188333890675,0.027168147396718315,0,357,127449,0,0
2016-06-08,0.031334699410528716,0.027137875711456042,0.02774450368034835,0,358,128164,0,0
2016-06-09,0.027489252837337663,0.025398621202557158,0.027286196951799947,0,359,128881,0,0
2016-06-10,0.02722748541566488,0.024534982686296208,0.02673287722536916,0,360,129600,0,0
2016-06-11,0.03112559076084886,0.027833617069764758,0.02635561464130517,0,361,130321,0,0
2016-06-12,0.02859320065989928,0.028056405579606758,0.029683914183416663,0,362,131044,0,0
2016-06-13,0.034696843165202614,0.03304944192441802,0.02809573272995387,0,363,131769,0,0
2016-06-14,0.0273913462596443,0.027719655901264142,0.026939404947398937,0,364,132496,0,0
2016-06-15,0.022378256481149196,0.027150246840285545,0.02775764437860965,0,365,133225,0,0
2016-06-16,0.028381117303658342,0.028117457815858185,0.02791242886954131,0,366,133956,0,0
2016-06-17,0.025052841562043182,0.02576285484601729,0.02512400298154943,0,367,134689,0,0
2016-06-18,0.0290663302894793,0.024912822158368625,0.028075913954349642,0,368,135424,0,0
2016-06-19,0.024960356429237846,0.026372655562462485,0.026333924291800013,0,369,136161,0,0
2016-06-20,0.027221098264436742,0.02404609693642801,0.023321751507004232,0,370,136900,0,0
2016-06-21,0.026401041690183976,0.02514713921135253,0.027391312968475308,0,371,137641,0,0
2016-06-22,0.026941101228013718,0.02701814254025345,0.02737395177143269,0,372,138384,0,0
2016-06-23,0.030022243356284888,0.027192992398382392,0.027324091399289943,0,373,139129,0,0
2016-06-24,0.02793221954420547,0.037830011529465225,0.03128047398811501,0,374,139876,0,0
2016-06-25,0.026777508999471924,0.03102065609070804,0.028748519544159024,0,375,140625,0,0
2016-06-26,0.02833577293725781,0.03466931263200578,0.02857255523758298,0,376,141376,0,0
2016-06-27,0.02612165780115052,0.029541388845081368,0.02689162303037927,0,377,142129,0,0
2016-06-28,0.021555861501486903,0.02806527531166193,0.02813509991360047,0,378,142884,0,0
2016-06-29,0.0256731134075918,0.02819560505127248,0.028850716430966306,0,379,143641,0,0
2016-06-30,0.0356409340208204,0.025880520063466063,0.02767072429404475,0,380,144400,0,0
2016-07-01,0.02318633567902021,0.025200243552076253,0.026311535279871283,0,381,145161,0,0
2016-07-02,0.03016738296288997,0.031758126407408244,0.027372642062387226,0,382,145924,0,0
2016-07-03,0.03307291037296997,0.03456946365874159,0.0292008987521192,0,383,146689,0,0
2016-07-04,0.02655696074374671,0.031867109739778084,0.0273893732372471,0,384,147456,0,0
2016-07-05,0.021987197963841448,0.0269886683830827,0.027786175971658642,0,385,148225,0,0
2016-07-06,0.020710934411553958,0.02398019314103018,0.028529355285921824,0,386,148996,0,0
2016-07-07,0.035771697491295634,0.02978368295966268,0.029746112793460493,0,387,149769,0,0
2016-07-08,0.02764214436972686,0.02589377444679401,0.030623913750392705,0,388,150544,0,0
2016-07-09,0.03642016445571841,0.027673911899728624,0.02889949062127278,0,389,151321,0,0
2016-07-10,0.030267641082767013,0.027699744600578603,0.028301864423954312,0,390,152100,0,0
2016-07-11,0.02729597243501419,0.02561123344772234,0.02773498000834486,0,391,152881,0,0
2016-07-12,0.019797911617572262,0.02212543183735857,0.027169033298175462,0,392,153664,0,0
2016-07-13,0.02419173787057261,0.02401649199901464,0.027544726016843258,0,393,154449,0,0
2016-07-14,0.027061113247439948,0.021629376793261428,0.02764447106846973,0,394,155236,0,0
2016-07-15,0.0272121037095039,0.02184089904410376,0.0278368603926784,0,395,156025,0,0
2016-07-16,0.024158083086261314,0.020818234412458368,0.027568296124190574,0,396,156816,0,0
2016-07-17,0.02742598842651773,0.02312366227625813,0.027982739705909025,0,397,157609,0,0
2016-07-18,0.032126989624963354,0.021666553501466315,0.02862269111288577,0,398,158404,0,0
2016-07-19,0.021659879152341664,0.01906444497888292,0.027542388821343237,0,399,159201,0,0
2016-07-20,0.0227286228438594,0.021010780267447682,0.02803909777510294,0,400,160000,0,0
2016-07-21,0.022099417061287933,0.021950402479938392,0.027367232939703896,0,401,160801,0,0
2016-07-22,0.026241891669838605,0.02581260068692311,0.02752892648088765,0,402,161604,0,0
2016-07-23,0.019924922692656884,0.023880039055617638,0.02694087334484868,0,403,162409,0,0
2016-07-24,0.01943628521358149,0.022358587055219543,0.026646124093844183,0,404,163216,0,0
