date,hillary_tpd,hillary_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2016-08-13,2379512,906768,789,172,721,158,497,50,0.0026526447439643086,5.782698301164273e-4,0.0063610537645792525,0.0013939618513224992,0.0016709308463247925,1.68101694801287e-4,0,424,0,0,179776
2016-08-14,1931368,739504,677,151,616,147,431,61,0.0028042299551406047,6.254634021066933e-4,0.006663926091001536,0.0015902550898980938,0.0017852630881323498,2.5267064588416086e-4,0,425,0,0,180625
2016-08-15,2519872,923144,698,333,659,316,355,170,0.002215985573870419,0.0010571965560155438,0.005710918339933965,0.002738467671349215,0.001127041373530084,5.397099535214487e-4,0,426,0,0,181476
2016-08-16,2512136,907144,577,268,522,240,259,112,0.001837480136425735,8.534569784438422e-4,0.004603458767296041,0.0021165327665728924,8.24796109764758e-4,3.566685880063818e-4,0,427,0,0,182329
2016-08-17,2439464,948736,728,317,668,289,321,156,0.002387409693276884,0.001039572627429632,0.005632757690232056,0.0024369266055045873,0.0010526902631069776,5.115877914164751e-4,0,428,0,0,183184
2016-08-18,2263896,916144,501,199,475,188,206,68,0.0017703993469664683,7.032125150625295e-4,0.004147819556750904,0.0016416633193035155,7.279486336828194e-4,2.402937237399598e-4,0,429,0,0,184041
2016-08-19,2488848,960280,716,210,632,194,332,61,0.002301466381233406,6.750110894678984e-4,0.005265131003457325,0.0016161952763777232,0.0010671603890635346,1.960746497978181e-4,0,430,0,0,184900
2016-08-20,1983896,813168,593,216,553,193,264,63,0.002391254380269934,8.710133998959623e-4,0.005440450189874663,0.001898746630462586,0.0010645719332061762,2.5404557496965565e-4,0,431,0,0,185761
2016-08-21,2124480,772896,651,148,517,140,317,33,0.0024514234071396296,5.573128483205302e-4,0.005351302115679212,0.001449095350474061,0.0011937038710649194,1.2426570266606417e-4,0,432,0,0,186624
2016-08-22,2879688,949760,737,208,696,198,409,76,0.0020474440286586603,5.778403771519692e-4,0.005862533692722372,0.001667789757412399,0.0011362342031497857,2.1113398395937338e-4,0,433,0,0,187489
2016-08-23,3274432,1131976,812,199,784,187,471,51,0.001983855520591052,4.8619119285421103e-4,0.005540753514208781,0.0013215827897411253,0.0011507339288157458,1.2460176299278777e-4,0,434,0,0,188356
