date,trump_tpd,trump_upd,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,slope_change2,date_num2
2015-08-01,851544,511272,332,78,286,76,119,32,0.003119040237498004,7.327865618218201e-4,0.004475113051369916,0.0011891908807836141,0.0011179692417538024,3.0063038433715696e-4,0,46,0,0,2116
2015-08-02,1004712,586176,365,82,335,76,147,19,0.0029063054885380087,6.529234248222376e-4,0.004572005677475707,0.001037231138770608,0.0011704846762057187,1.5128713501978675e-4,0,47,0,0,2209
2015-08-03,1249616,693792,481,77,414,75,236,19,0.003079345975083546,4.929514346807339e-4,0.004773765047737651,8.648125086481251e-4,0.0015108641374630288,1.2163736699914214e-4,0,48,0,0,2304
2015-08-04,1701616,981376,616,233,582,222,311,141,0.0028960705588099785,0.0010954292860433847,0.0047443589409156125,0.0018097039259162644,0.0014621395191394533,6.628992675198164e-4,0,49,0,0,2401
2015-08-05,1515784,859688,519,91,479,86,213,21,0.002739176558137571,4.802795121204605e-4,0.004457431068015372,8.002903378900253e-4,0.0011241707261720668,1.1083373356626009e-4,0,50,0,0,2500
2015-08-06,900944,549296,349,48,328,47,114,10,0.0030989717451917103,4.262196096538742e-4,0.0047770236812210536,6.845125396871632e-4,0.001012271572927951,8.879575201122378e-5,0,51,0,0,2601
2015-08-07,8419840,3957784,3822,1205,3621,1163,2089,611,0.0036314229249011856,0.0011449148677409547,0.007319247336388242,0.002350810453526519,0.0019848358163575552,5.805335968379447e-4,0,52,0,0,2704
2015-08-08,4610472,1953640,2434,668,2272,646,1445,352,0.004223428750895787,0.0011591004131464198,0.00930365881124465,0.002645318482422555,0.002507335474545773,6.107834512388319e-4,0,53,0,0,2809
2015-08-09,3330320,1449376,1686,272,1539,246,801,64,0.004050061255374859,6.533906651613058e-4,0.008494690128717461,0.0013578257125825182,0.001924139422037522,1.537389800379543e-4,0,54,0,0,2916
2015-08-10,3034584,1431704,2243,357,1953,345,821,162,0.005913166351631723,9.411504179815091e-4,0.010912870258098043,0.0019277727798483486,0.002164382333789409,4.2707666026051675e-4,0,55,0,0,3025
2015-08-11,2973976,1409304,1331,193,1225,188,649,33,0.0035803920408234635,5.191702959270687e-4,0.006953787117612665,0.0010671934515193316,0.001745810995112267,8.877005059892883e-5,0,56,0,0,3136
2015-08-12,2410336,1227712,706,172,672,166,238,46,0.002343241772101483,5.708747660077267e-4,0.004378877130792889,0.0010816869102851484,7.899313622665055e-4,1.5267580951369434e-4,0,57,0,0,3249
2015-08-13,1700656,904856,565,107,520,103,222,23,0.002657797932092087,5.033351835997404e-4,0.004597416605515132,9.106421353231895e-4,0.00104430290429105,1.0819354413826194e-4,0,58,0,0,3364
2015-08-14,1456424,801832,517,108,481,100,190,25,0.0028398323565115655,5.932338384975804e-4,0.0047990102664897385,9.977152321184487e-4,0.0010436521232827802,1.373226478003658e-4,0,59,0,0,3481
2015-08-15,1495736,750760,464,106,438,102,197,27,0.0024817213732904737,5.669449688982547e-4,0.00466727049922745,0.001086898609409132,0.001053661876159964,1.4441051094578187e-4,0,60,0,0,3600
2015-08-16,1966040,901464,653,137,571,131,259,49,0.0026571178612846127,5.574657687534332e-4,0.005067312726853208,0.0011625533576493348,0.0010538951394681694,1.9938556692641044e-4,0,61,0,0,3721
2015-08-17,2333424,1087072,1090,144,1008,135,646,38,0.0037369976480913884,4.936951021331743e-4,0.00741809190191634,9.934944511495098e-4,0.0022147710831807678,1.3028065195180987e-4,0,62,0,0,3844
2015-08-18,2611680,1318808,2847,256,2802,250,2308,67,0.008720823378055504,7.84169576670955e-4,0.0169971671388102,0.001516520979551231,0.00706977883967408,2.0523188139435155e-4,0,63,0,0,3969
2015-08-19,2456992,1317384,2171,336,2089,326,1459,152,0.007068806084838697,0.0010940206561519126,0.012685746904471286,0.001979680943445495,0.004750524218231073,4.949141063544366e-4,0,64,0,0,4096
2015-08-20,3144704,1649088,6471,394,6152,383,5204,134,0.016461962715727776,0.0010023200911755128,0.029844374587650872,0.0018579966623976404,0.013238765874308044,3.408905893845653e-4,0,65,0,0,4225
2015-08-21,2676752,1390816,3810,279,3398,271,2493,75,0.011386934613292527,8.338463929418938e-4,0.01954536042150795,0.0015587971377953663,0.007450820994996922,2.2415225616717575e-4,0,66,0,0,4356
2015-08-22,3136224,1545992,3527,405,3384,391,2651,175,0.008996806350566796,0.0010330894732008939,0.01751108673266097,0.002023296368933345,0.006762272082606344,4.463966859510035e-4,0,67,0,0,4489
2015-08-23,2398240,1396928,1989,308,1897,297,1405,124,0.006634865568083261,0.001027420108079258,0.010863838365327347,0.0017008750629953727,0.0046867702982186935,4.13636666889052e-4,0,68,0,0,4624
2015-08-24,2321024,1349288,1437,350,1369,342,821,173,0.004952986268129929,0.0012063640875751393,0.008116873491797155,0.002027736109711196,0.0028297854739976836,5.962885347157116e-4,0,69,0,0,4761
2015-08-25,3921872,1908592,2498,582,2367,568,1321,198,0.005095525810123329,0.0011871881591240102,0.00992144994844367,0.0023808126618994527,0.00269463154330381,4.0388875516590033e-4,0,70,0,0,4900
2015-08-26,8412072,4140248,6179,2907,5930,2828,3199,1566,0.00587631679804928,0.002764598305863288,0.0114582508100964,0.00546440696306115,0.003042294454921451,0.001489288251455765,0,71,0,0,5041
2015-08-27,5496008,3262344,2803,1301,2647,1269,1388,643,0.004080052285222293,0.0018937381459415634,0.006491038345435062,0.003111872935533469,0.002020375516192844,9.359520582939471e-4,0,72,0,0,5184
2015-08-28,4289304,2536088,2244,839,2163,817,1233,365,0.004185294397412727,0.001564822637891835,0.006823107084612206,0.002577197636675068,0.00229967379323079,6.807631261388794e-4,0,73,0,0,5329
2015-08-29,3488160,2138024,1561,491,1489,484,828,199,0.0035801110040823815,0.0011260951332507682,0.005571499665111336,0.0018110180241194672,0.0018989954589239027,4.564010825191505e-4,0,74,0,0,5476
2015-08-30,3150392,2057272,1305,473,1253,462,674,186,0.003313873321161303,0.0012011203685128708,0.004872471894819937,0.0017965538830062334,0.0017115330409676003,4.7232217451034667e-4,0,75,0,0,5625
2015-08-31,5313744,3581680,3690,2271,3632,2254,2733,1803,0.0055554050025744565,0.0034190582007714333,0.008112394183735008,0.005034508945522771,0.004114612973451487,0.0027144702492254047,0,76,0,0,5776
2015-09-01,3092272,1897480,2327,1554,2284,1542,1720,1275,0.006020168989015196,0.004020344911443754,0.009629614014376963,0.006501254295170437,0.00444980260468678,0.0032985455354509565,0,77,0,0,5929
2015-09-02,2545528,1530168,1191,617,1154,606,685,436,0.003743034843851649,0.001939086900635153,0.006033324445420372,0.003168279561459918,0.0021527950193437275,0.0013702461728961534,0,78,0,0,6084
2015-09-03,2931808,1625472,1568,533,1499,525,997,330,0.004278588502384877,0.0014543926478132266,0.007377549413339633,0.0025838648712497047,0.002720505571988343,9.00468243486613e-4,0,79,0,0,6241
2015-09-04,2704824,1431328,1196,306,1089,291,665,130,0.0035373835783770033,9.050496446349189e-4,0.006086655190145096,0.0016264615797357419,0.0019668562538634675,3.844982150409786e-4,0,80,0,0,6400
2015-09-05,2304024,1283584,870,418,811,412,479,273,0.0030208018666472223,0.0014513737704121138,0.005054597128041484,0.0025678101316314317,0.001663177119682781,9.479067926375768e-4,0,81,0,0,6561
2015-09-06,2169768,1258952,802,367,741,357,430,237,0.0029569981675460232,0.0013531400592137039,0.004708678329277049,0.0022685535270606026,0.001585422957661833,8.738261417810567e-4,0,82,0,0,6724
2015-09-07,2081488,1166744,1040,262,1006,250,656,123,0.003997140507175635,0.0010069719354615543,0.006897828486797447,0.0017141720891643752,0.002521273242987709,4.727387330601954e-4,0,83,0,0,6889
2015-09-08,1883504,1082368,638,170,624,165,303,52,0.0027098429310476644,7.22058461250945e-4,0.004612109744560076,0.0012195482497634816,0.0012869630221119786,2.2086494108852436e-4,0,84,0,0,7056
2015-09-09,2239688,1226744,687,248,663,242,281,88,0.002453913223627577,8.858376702469272e-4,0.004323640466144526,0.001578161376782768,0.0010037112312072038,3.1432949589407094e-4,0,85,0,0,7225
2015-09-10,2877640,1446936,1571,295,1516,290,693,119,0.004367467786102501,8.201164843413352e-4,0.008381849646425273,0.001603388124975811,0.001926578724232357,3.3082664961565727e-4,0,86,0,0,7396
2015-09-11,2233392,1226632,672,198,634,189,206,53,0.002407100947795998,7.092351006898923e-4,0.004134899464550085,0.0012326435312302304,7.378910643541304e-4,1.8984575927557724e-4,0,87,0,0,7569
2015-09-12,2090952,1106904,678,200,636,189,256,63,0.0025940337224383916,7.652016880349238e-4,0.0045966045835953255,0.001365972116823139,9.794581606847024e-4,2.4103853173100098e-4,0,88,0,0,7744
2015-09-13,1752752,968344,1162,183,1112,175,373,66,0.005303659616420349,8.352579258217934e-4,0.009186817907685697,0.0014457672066951414,0.0017024656083690106,3.0124056341113863e-4,0,89,0,0,7921
2015-09-14,2222088,1225272,1935,166,1893,155,1551,49,0.006966420771814618,5.976360972202721e-4,0.012359704620688305,0.0010120201881704633,0.005583937269811097,1.7641065520357428e-4,0,90,0,0,8100
2015-09-15,2949960,1400352,1431,245,1373,242,854,73,0.0038807305861774397,6.644157886886602e-4,0.007843742144832156,0.001382509540458399,0.002315963606286187,1.9796878601743752e-4,0,91,0,0,8281
2015-09-16,3566688,1703656,1852,442,1769,433,1014,197,0.004153993845270459,9.913959393140078e-4,0.008306841287208216,0.0020332743229853913,0.002274378919602724,4.418665159385962e-4,0,92,0,0,8464
2015-09-17,8434632,4471456,6380,852,6259,839,4792,308,0.006051242069600666,8.080969033385215e-4,0.011198142171140676,0.001501077054096026,0.004545070846007271,2.9212892749796315e-4,0,93,0,0,8649
2015-09-18,3699088,1909288,1442,362,1371,349,754,133,0.0031186065322046947,7.828956759071425e-4,0.005744549800763426,0.0014623252228055693,0.0016306722089336613,2.8763846656256896e-4,0,94,0,0,8836
2015-09-19,2992712,1521480,1022,317,956,302,499,105,0.002731970199604907,8.473919307972167e-4,0.005026684543996635,0.0015879275442332466,0.0013339071718227481,2.8068186982242195e-4,0,95,0,0,9025
2015-09-20,2515312,1429952,734,233,677,211,317,78,0.002334501644328815,7.410611486765857e-4,0.003787539721613033,0.0011804592042250369,0.0010082248245943247,2.480805562093291e-4,0,96,0,0,9216
2015-09-21,2472392,1317816,911,272,856,255,408,72,0.0029477526217525376,8.801193338273219e-4,0.005196476594608048,0.001548015807973192,0.0013201790007409827,2.3297276483664402e-4,0,97,0,0,9409
2015-09-22,1537600,838880,627,254,614,252,356,168,0.0032622268470343394,0.0013215400624349636,0.005855426282662598,0.0024032042723631506,0.0018522372528616026,8.740894901144642e-4,0,98,0,0,9604
2015-09-23,2268504,1148320,887,315,830,313,404,139,0.003128052672598329,0.001110864252388358,0.005782360317681482,0.0021805768426919328,0.0014247274856028468,4.901908923237516e-4,0,99,0,0,9801
2015-09-24,2330712,1123840,1007,258,920,249,338,99,0.0034564545083219204,8.855662990536798e-4,0.006548974943052392,0.00177249430523918,0.0011601605003106346,3.3981032405548174e-4,0,100,0,0,10000
2015-09-25,2494312,1545144,717,208,684,203,285,62,0.002299632123006264,6.671178264788046e-4,0.003541417498951554,0.0010510347255660315,9.140797141656698e-4,1.9885242904656676e-4,0,101,0,0,10201
2015-09-26,1633584,899432,651,149,621,144,370,35,0.003188082155554903,7.296839342207074e-4,0.005523485933344599,0.0012808083323697622,0.0018119668165212197,1.7140226642768294e-4,0,102,0,0,10404
2015-09-27,1444064,815464,1586,88,1562,84,1361,18,0.008786314179980943,4.8751301881357057e-4,0.015323791117694956,8.240707131154778e-4,0.007539832029605336,9.971857203004853e-5,0,103,0,0,10609
2015-09-28,1937664,943168,1057,121,1038,119,728,31,0.004364017703791782,4.995706169903554e-4,0.008804369953179073,0.0010093641853837281,0.003005681067512221,1.2798916633637204e-4,0,104,0,0,10816
2015-09-29,1788728,966240,721,110,674,107,412,20,0.00322463784320478,4.919697125555142e-4,0.0055803941049842685,8.859082629574433e-4,0.001842650196117017,8.944903864645715e-5,0,105,0,0,11025
2015-09-30,2109296,1152392,839,171,816,167,498,55,0.0031821043608862864,6.48557623017348e-4,0.005664739081840207,0.001159327728758964,0.0018887818494891186,2.0860040506405928e-4,0,106,0,0,11236
2015-10-01,1686024,994272,506,125,483,120,213,23,0.0024009148149729776,5.931113673352218e-4,0.0038862605001448295,9.655305590421936e-4,0.001010661769939218,1.0913249158968081e-4,0,107,0,0,11449
2015-10-02,1423960,860272,390,115,380,112,161,29,0.002191072782943341,6.460855642012415e-4,0.0035337660646865177,0.0010415310506444475,9.045197898817383e-4,1.6292592488553048e-4,0,108,0,0,11664
2015-10-03,1436000,744264,486,115,466,104,249,31,0.0027075208913649026,6.406685236768802e-4,0.005008975309836295,0.00111788290176604,0.0013871866295264623,1.7270194986072424e-4,0,109,0,0,11881
2015-10-04,1735568,899256,605,154,579,151,337,73,0.0027887123984770405,7.09854065066883e-4,0.0051509247644719635,0.0013433327105963151,0.0015533819475814258,3.364892646096264e-4,0,110,0,0,12100
2015-10-05,1511224,863144,440,117,405,110,203,31,0.00232923775694404,6.193654944601197e-4,0.003753718962305247,0.0010195286070458695,0.0010746256014991821,1.6410538742105737e-4,0,111,0,0,12321
2015-10-06,1687448,819464,618,246,574,232,322,144,0.002929868061119513,0.0011662581602514567,0.005603662882079017,0.0022648951021643415,0.0015265655593535328,6.826877035618283e-4,0,112,0,0,12544
2015-10-07,1470712,831560,462,150,437,146,216,79,0.002513068500155027,8.159313312191646e-4,0.0042041464235893986,0.0014045889653181971,0.001174941116955597,4.2972383444209335e-4,0,113,0,0,12769
2015-10-08,1540104,857288,727,423,703,418,400,278,0.003776368349150447,0.0021972542114039053,0.00656022246899525,0.0039006728194025814,0.0020777817601928183,0.0014440583233340087,0,114,0,0,12996
2015-10-09,1583560,892264,601,204,579,199,326,104,0.00303619692338781,0.0010305893051100053,0.005191288676893834,0.0017842252965490034,0.0016469221248326554,5.253984692717674e-4,0,115,0,0,13225
2015-10-10,1541712,928416,1026,172,988,163,751,66,0.00532395155515427,8.925142957958425e-4,0.008513425016371971,0.0014045427911625822,0.0038969664892016145,3.4247641582863724e-4,0,116,0,0,13456
2015-10-11,1326176,885688,410,140,371,126,188,46,0.0024732765485124147,8.44533455589605e-4,0.003351067192961856,0.0011380982919493095,0.0011340877832203267,2.7748956397944167e-4,0,117,0,0,13689
2015-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,13924
